suid,capturetime,headline,all_topics,all_people,flagged_people_ids,flagged_people_keys,score,relevant,autolabeler_id
KX82S51A1I4I,2010-02-02T16:21:41.201+00:00,*GEITHNER SAYS FED HAD NO ROLE IN SUPERVISING AIG PRE-CRISIS,BNALL;BNK;BNSTAFF;BON;BUD;BUSINESS;CBM;CECO;CEN;CNG;COS;CRUNCH;ECO;ECOINDIC;FED;FEDSPEAK;FEDSPKHEAD;FIALL;FIASST;FIN;FINMIN;FISUB;FLASHG7;G10MEMB;G7ECOS;G7MEMB;G8;GBN;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INF;INS;INTERNAL;MARKETS;MISC;MMK;MSCINAMER;MSCIWORLD;NOB;NORTHAM;NY;POLNEWS;RIF;SPREGIONS;SRCRANK1;TARP;TRE;US;USB;USECO;USGOV;USMA;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-9999,0,a4d02521172240889ff6f14991159491
KXBSS91A1I4K,2010-02-04T16:36:10.132+00:00,*GEITHNER SAYS HE SUPPORTS BROADER FED TRANSPARENCY,BNALL;BNK;BNSTAFF;BON;BUSINESS;CECO;CEN;CNG;COS;ECO;ECOINDIC;FED;FEDSPEAK;FEDSPKHEAD;FIALL;FIASST;FIN;FINMIN;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INF;INS;INTERNAL;MARKETS;MISC;MMK;MSCINAMER;MSCIWORLD;NORTHAM;NY;POLNEWS;RIF;SPREGIONS;SRCRANK1;TRE;US;USECO;USGOV;USMA;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,0,1,4a63c1d9b45545579ddd5cfdfda6771a
KXBSSA1A1I4G,2010-02-04T16:36:10.160+00:00,*GEITHNER SAYS IMPORTANT FED'S INDEPENDENCE ISN'T UNDERMINED,BNALL;BNK;BNSTAFF;BON;BUSINESS;CECO;CEN;CNG;COS;ECO;ECOINDIC;FED;FEDSPEAK;FEDSPKHEAD;FIALL;FIASST;FIN;FINMIN;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INF;INS;INTERNAL;MARKETS;MISC;MMK;MSCINAMER;MSCIWORLD;NORTHAM;NY;POLNEWS;RIF;SPREGIONS;SRCRANK1;TRE;US;USECO;USGOV;USMA;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-2,1,5786f5cde9d942d9816c4c58375a62a5
KXL48S1A1I4I,2010-02-09T17:22:04.610+00:00,*SUMMERS SAYS FED HAS MADE CLEAR ITS PLEDGE TO TRANSPARENCY,BNALL;BNK;BNSTAFF;BUD;BUSINESS;CECO;CMD;CNG;COS;ECO;ECOINDIC;EMC;EUROPE;EXE;FIALL;FIASST;FIN;FINMIN;G10MEMB;G7ECOS;G7MEMB;GEN;GOV;GOVMISC;GRE;HEADS;INDUSTRIES;INF;INTERNAL;MARKETS;MISC;MSCIDVEUR;MSCINAMER;MSCIWORLD;NORTHAM;NRG;POLNEWS;RIF;RULES;SPREGIONS;SRCRANK1;TRE;US;USECO;USGOV;WASHNEWS;WORLD,1493503;1867829,1493503,summers,-1,1,0162648b9ee64f2f9510194876e594d9
KXL49Y1A1I4I,2010-02-09T17:22:46.911+00:00,"*SUMMERS SAYS AN INDEPENDENT FED IS `CRUCIAL' TO GROWTH, JOBS",BNALL;BNK;BNSTAFF;BUD;BUSINESS;CECO;CMD;CNG;COS;ECO;ECOINDIC;EMC;EUROPE;EXE;FIALL;FIASST;FIN;FINMIN;G10MEMB;G7ECOS;G7MEMB;GEN;GOV;GOVMISC;GRE;HEADS;INDUSTRIES;INF;INTERNAL;MARKETS;MISC;MSCIDVEUR;MSCINAMER;MSCIWORLD;NORTHAM;NRG;POLNEWS;RIF;RULES;SPREGIONS;SRCRANK1;TRE;US;USECO;USGOV;WASHNEWS;WORLD,1493503;1867829,1493503,summers,-3,1,1ebb4624efde44cd815c8756fa679991
KYCSMG1A1I4I,2010-02-24T16:03:52.995+00:00,*GEITHNER SAYS HE `WILL NEVER' COMMENT ON FED'S MONETARY POLICY,BNALL;BNK;BNSTAFF;BON;BUD;BUSINESS;CBM;CECO;CEN;CNG;COS;CRUNCH;ECO;ECOINDIC;FED;FEDSPEAK;FEDSPKHEAD;FIALL;FIASST;FIN;FINMIN;FISUB;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GBN;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INF;INTERNAL;MARKETS;MISC;MMK;MSCINAMER;MSCIWORLD;NOB;NORTHAM;POL;POLNEWS;RIF;SPREGIONS;SRCRANK1;TARP;TRE;US;USB;USECO;USGOV;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-3,1,cb78e716d75c4abbaba564acc972c87d
KYZ0SF1A1I4I,2010-03-08T16:07:27.446+00:00,"*GEITHNER, SUMMERS WORKING CLOSELY ON FED VACANCIES, CNBC SAYS",BNALL;BNSTAFF;BUSINESS;CEN;COS;ESG;ESGSOC;FED;FIALL;FIASST;FINMIN;FLASHG7;G10MEMB;G7MEMB;G8;GEN;GOV;GOVMISC;HEADS;INTERNAL;LABOR;MISC;MSCINAMER;MSCIWORLD;NORTHAM;POLNEWS;RIF;SPREGIONS;SRCRANK1;TRE;US;USGOV;WORLD,1493503;1645812;6000966,1645812;1493503,geithner;summers,-9999,0,1d4fc576a0034750b230e5503829015c
KZE6UQ1A1I4I,2010-03-16T20:42:26.747+00:00,*GEITHNER SAYS HE BACKS GOVERNANCE CHANGES AT FED DISTRICT BANKS,BNALL;BNK;BNSTAFF;BON;BUD;BUSINESS;CBM;CECO;CEN;CNG;COS;ECO;EXE;FED;FEDSPEAK;FEDSPKHEAD;FIALL;FIASST;FIN;FINMIN;FISUB;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GBN;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INTERNAL;MARKETS;MISC;MSCINAMER;MSCIWORLD;NOB;NORTHAM;POLNEWS;RIF;SPREGIONS;SRCRANK1;TRE;US;USB;USECO;USGOV;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,0,1,3c25cae356014c9492f3aa6046271326
KZPCND1A1I4I,2010-03-22T21:21:13.752+00:00,*GEITHNER: U.S BETTER OFF GIVING FED MAIN ROLE OVERSEEING BANKS,BNALL;BNK;BNSTAFF;BON;BUSINESS;CECO;CEN;CNG;COS;CRUNCH;ECO;FED;FIALL;FIASST;FIN;FINMIN;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INTERNAL;MARKETS;MISC;MMK;MSCINAMER;MSCIWORLD;NORTHAM;POLNEWS;RIF;RULES;SPREGIONS;SRCRANK1;TRE;US;USECO;USGOV;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-9999,0,c7eb635d9bba483bbf46e7e0f01d0998
L099VL1A1I4I,2010-04-02T15:33:21.899+00:00,*GEITHNER SAYS HE RESPECTS FED'S INDEPENDENCE,BNALL;BNK;BNSTAFF;BON;BUD;BUSINESS;CBM;CECO;CEN;CNG;COS;ECO;ECOINDIC;FED;FEDSPEAK;FEDSPKHEAD;FIALL;FIASST;FIN;FINMIN;FISUB;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GBN;GEN;GOV;GOVMISC;HEADS;HOM;HSNG;INDUSTRIES;INF;INTERNAL;LBR;MARKETS;MISC;MMK;MOR;MSCINAMER;MSCIWORLD;NOB;NORTHAM;POL;POLNEWS;REL;RESREL;RIF;RULES;SPREGIONS;SRCRANK1;TRE;US;USB;USECO;USGOV;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-1,1,e0f85a4a7eb3463c9f03f352da82a936
L3HSNU1A1I4J,2010-06-04T13:40:43.100+00:00,"*ROMER: FISCAL STIMULUS, FED POLICY `VERY IMPORTANT' IN RECOVERY",BNALL;BNSTAFF;BON;BUSINESS;CBM;CECO;CEN;CNG;COS;ECO;ECOINDIC;ESG;ESGSOC;EXE;FED;FIALL;FIASST;FISUB;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GBN;GEN;GOV;GOVMISC;HEADS;INF;INTERNAL;LABOR;MARKETS;MISC;MMK;MSCINAMER;MSCIWORLD;NOB;NORTHAM;POLNEWS;POSITIVE;RIF;SPREGIONS;SRCRANK1;US;USB;USECO;USGOV;WASHNEWS;WORLD,16248687;1867829,16248687,romer,0,1,5e640d747a1949f9817aec42e4daab99
LAS8950NQ1AI,2010-10-24T12:00:00.276+00:00,*GEITHNER SAYS U.S. WAS NOT DEFENSIVE ABOUT FED POLICY AT G-20,ASIA;ASIAX;BNALL;BNK;BNSTAFF;BON;BRIC;BRICECO;BUSINESS;CECO;CEN;CHECO;CHINA;COS;ECO;ECOINDIC;EM;EMD;EU;EUROPE;FED;FEDSPEAK;FEDSPKHEAD;FIALL;FIASST;FIN;FINMIN;FINNEWS;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GEN;GOV;GOVMISC;HEADS;IMF;INDUSTRIES;INF;INTERNAL;JAPAN;MARKETS;MISC;MMK;MSCIDVAS;MSCIEMAS;MSCINAMER;MSCIWORLD;NASIA;NORTHAM;POLNEWS;RIF;SOVEREIGN;SPREGIONS;SRCRANK1;TRD;TRE;US;USECO;USGOV;WORLD,1645812;1867829,1645812,geithner,0,1,1b69639d7228419682f400b83d03db02
LNMIAF1A1I4I,2011-06-30T21:56:39.794+00:00,*GEITHNER SAYS INTEREST RATES RISE IF NO RAISED DEBT CEILING,BNSTAFF;BON;BUD;BUSINESS;CECO;CEN;CNG;ECO;EXE;FED;FINMIN;FINNEWS;FLASHG7;G7ECOS;GBN;GOV;GOVMISC;HEADS;LOANS;MARKETS;NORTHAM;RIF;TRE;US;USECO;USGOV;FIALL;FIASST;G10MEMB;G7MEMB;G8;GEN;MISC;SPREGIONS;WORLD,1645812;7372630,1645812,geithner,-9999,0,a0447eff1fce4b798467ed0ecdc692f1
LQK08K1A1I4J,2011-08-26T21:12:20.355+00:00,*OBAMA GRANTS GOV. CUOMO REQUEST FOR FED. EMERGENCY DECLARATION,BNALL;BNSTAFF;EMER;EXE;GEN;GOV;HEADS;MSCINAMER;MSCIWORLD;NAT;NORTHAM;NY;RIF;SRCRANK1;US;USGOV;USMA;G10MEMB;G7MEMB;GENEVENT;MISC;SPREGIONS;WORLD,13387962;16110101;3296948,3296948,obama,-9999,0,941c5d3f5afa402ea4a87cf7b06a3b3f
LRIVIN1A1I4I,2011-09-14T17:06:23.226+00:00,*OBAMA SAYS `FED UP' WITH `GAME-PLAYING' IN `NATIONAL EMERGENCY',BNALL;BNSTAFF;BON;BUD;BUSINESS;CECO;CNG;COS;CST;ECO;EXE;FIN;FINNEWS;G7ECOS;GEN;GOV;GOVMISC;HEADS;INF;MARKETS;MSCINAMER;MSCIWORLD;NC;NORTHAM;POL;RIF;SRCRANK1;STIMULUS;TAX;UNEMPLOY;US;USECO;USGOV;USSE;USSO;CRUNCH;ECOINDIC;ESG;ESGCOUNT;ESGLABOR;ESGSOC;FIALL;FIASST;G10MEMB;G7MEMB;INDUSTRIES;LABOR;MISC;SPREGIONS;WORLD,1711776;3296948,3296948,obama,-9999,0,be06b4654277443b86e39ef69392f8a2
LYC0T81A1I4M,2012-01-25T02:12:44.916+00:00,*OBAMA SEEKS TO BLOCK INTEREST RATE INCREASE ON STUDENT LOANS,CNG;EDU;ELECT;EXE;GEN;GOV;HEADS;LOANS;MSCINAMER;MSCIWORLD;NORTHAM;POL;RIF;SRCRANK1;US;USGOV;BUSINESS;G10MEMB;G7MEMB;MARKETS;MISC;SPREGIONS;WORLD,1711776;3296948,3296948,obama,-9999,0,5a7b03e7e511432db3a3aa985eb61cd0
M029321A1I4L,2012-02-27T16:42:38.292+00:00,*OBAMA SAYS STUDENT INTEREST RATES SHOULD BE KEPT LOW,EDU;EXE;GOV;HEADS;MSCINAMER;MSCIWORLD;NORTHAM;POL;RIF;SRCRANK1;US;USGOV;G10MEMB;G7MEMB;GEN;MISC;SPREGIONS;WORLD,3296948;5820887,3296948,obama,-9999,0,7de09c7df2c849faa462c18c3086017d
M727C11A1I4L,2012-07-12T18:00:02.212+00:00,"*SHELBY SAYS HE WANTS ANSWERS FROM N.Y. FED, GEITHNER ON LIBOR",BGOVBILLGO;BNK;BONDWIRES;BUSINESS;CECO;CEN;CNG;COS;DAX;ECO;EMC;EQUITYKEY;EUROPE;FED;FIN;FINMIN;FINNEWS;FXKEY;G7ECOS;GER;GLOBALMACR;GOV;GOVMISC;HEADS;LIBOR;MARKETS;MSCIDVEUR;MSCINAMER;MSCIWORLD;NC;NORTHAM;NY;RIF;SCOTS;SCR;SRCRANK1;STK;SWISS;TRE;UK;UKX;US;USECO;USGOV;USMA;USSE;USSO;BGOVCODES;BON;CEU;CREDITKEY;DEBTKEY;FIALL;FIASST;G10MEMB;G7MEMB;GEN;INDUSTRIES;LOANS;MISC;MMK;RATESKEY;SPREGIONS;STKNDX;WORLD,13387007;1645812;1711796,1645812,geithner,-9999,0,1ae9eaa9892346a5bbfc1bec63231ad6
M7PZWH1A1I4Q,2012-07-25T14:21:54.136+00:00,*GEITHNER SAYS NY FED STAFF ALSO BRIEFED OFFICIALS ON LIBOR,BGOVBILLGO;BNK;BOE;BONDWIRES;BUSINESS;CECO;CEN;CNG;COS;ECO;EQUITYKEY;EUROPE;FED;FEDSPEAK;FEDSPKHEAD;FIN;FINMIN;FINNEWS;FLASHG7;FXKEY;G7ECOS;GLOBALMACR;GOV;GOVMISC;HEADS;LIBOR;MSCIDVEUR;MSCINAMER;MSCIWORLD;NORTHAM;RIF;RULES;SRCRANK1;TRE;UK;UKECO;US;USECO;USGOV;BGOVCODES;BON;CMDKEY;CREDITKEY;DEBTKEY;ESCB;FIALL;FIASST;G10MEMB;G7MEMB;G8;GEN;INDUSTRIES;LOANS;MARKETS;MISC;MMK;NRGKEY;RATESKEY;SPREGIONS;WORLD,1645812;7372630,1645812,geithner,-9999,0,4848dde304b549ab910ecea8aaf12f00
M81KKP1A1I4I,2012-07-31T20:22:01.927+00:00,*GEITHNER DECLINES TO COMMENT ON FED POLICY CITING INDEPENDENCE,BGOVBILLGO;BON;BONDWIRES;BUSINESS;CECO;CEN;COS;ECO;EQUITYKEY;FED;FINMIN;FINNEWS;FLASHG7;FRX;FXKEY;G7ECOS;GLOBALMACR;GOV;GOVMISC;HEADS;HOM;MARKETS;MOR;MSCINAMER;MSCIWORLD;NORTHAM;REL;RIF;SRCRANK1;TRE;US;USECO;USGOV;BGOVCODES;CMDKEY;CREDITKEY;DEBTKEY;FIALL;FIASST;G10MEMB;G7MEMB;G8;GEN;INDUSTRIES;MISC;NRGKEY;POLIRISK;RATESKEY;RESREL;SPREGIONS;WORLD,1645812;3749454,1645812,geithner,-1,1,1f23f1e096c0401fbc0a4fd080aff03b
