,suid,headline,timestamp_clean,relevant,hawk_dove,_reviewed,_untrained
58,QOS5WVT1UM1A,"*ROSENGREN: FISCAL, MONETARY POLICY READY TO DO MORE AS NEEDED",2021-02-19 15:10:00.005000+00:00,1,-2,1,
59,Q79B8RDWRGG2,*POWELL: ASSET PURCHASES ARE AIMED AT RESTORING MARKET FUNCTION,2020-03-15 22:46:03.085000+00:00,1,-2,1,
60,MGGV8Y0D9L36,*PLOSSER SAYS MONETARY POLICY IS NOT A SOLUTION TO FISCAL ISSUES,2013-01-11 10:05:22.747000-05:00,1,0,1,
61,LVFJDT0M5UKI,*YELLEN SAYS `SCOPE REMAINS' FOR ADDITIONAL FED EASING,2011-11-29 11:30:00-05:00,1,-2,1,
62,PQXP6ET0AFB4,*EVANS SAYS FED WOULDN'T BE AFRAID TO ACT IF RATE CUT IS NEEDED,2019-05-03 15:18:14.695000+00:00,1,-1,1,
63,PUJ8XUDWRGGC,*EVANS: WITH A COUPLE RATE CUTS PCE COULD BE 2.2% IN 2021,2019-07-12 10:15:30.764000-04:00,1,-2,1,
64,LTDVSN0M5UKS,*TARULLO URGES FED TO CONSIDER NEW LARGE-SCALE MBS PURCHASES,2011-10-20 18:00:00.002000-04:00,1,-2,1,
65,LUID8D0WGOIY,*FED'S YELLEN SAYS FORCEFUL ACTION NEEDED TO CURB EUROPE CRISIS,2011-11-11 13:15:00-05:00,1,-2,1,
66,P74JYW6TTDS4,*ROSENGREN SEES RISK OF RATES BACK AT ZERO IN FUTURE RECESSIONS,2018-04-13 12:56:56.531000+00:00,1,0,1,
67,QMFLFHDWRGGJ,*MESTER: FISCAL AND MONETARY POLICY STILL NEEDED TO AID ECONOMY,2021-01-04 23:00:00.008000+00:00,1,-2,1,
68,Q45V99T1UM0W,*KASHKARI: FED RATE CUTS HAVE REDUCED RISK OF RECESSION,2020-01-15 13:27:09.450000-05:00,1,-2,1,
69,SBDAFW598MBK,*BOSTIC: LIKELY APPROPRIATE TO CUT RATES IN FOURTH QUARTER,2024-04-03 08:52:44.858000-04:00,1,-2,1,
70,KWX6VH1A1I4R,*FED SAYS INTEREST RATES TO STAY LOW FOR AN `EXTENDED PERIOD',2010-01-27 14:16:29.861000-05:00,1,-2,1,
71,QC0TS2DWX2Q5,*POWELL REPEATS RATES ON HOLD NEAR ZERO UNTIL ECONOMY ON TRACK,2020-06-16 10:00:00.016000-04:00,1,-2,1,
72,SBBU00NPYH34,"*MESTER: DON'T PRE-JUDGE MEETINGS, WON'T RULE OUT JUNE FOR CUT",2024-04-02 14:00:00.908000-04:00,1,-2,1,
73,KT7P430S8Z64,*BERNANKE SAYS `SIGNIFICANT ECONOMIC CHALLENGES REMAIN',2009-11-16 12:15:00-05:00,1,-2,1,
74,M2C7TW0NKF1Q,*YELLEN SAYS JOBS OUTLOOK WARRANTS `HIGHLY ACCOMMODATIVE' POLICY,2012-04-11 19:15:00-04:00,1,-2,1,
75,KKO0EY0WGOHU,*BERNANKE SAYS FINANCIAL MARKETS `REMAIN UNDER STRESS',2009-06-03 10:00:00-04:00,1,-2,1,
76,LO9YW01A1I4H,*BERNANKE SAYS FED `PREPARED TO RESPOND' IF STIMULUS NEEDED,2011-07-13 10:00:00.266000-04:00,1,-2,1,
77,RIKP5BT0G1KW,*POWELL: VERY LIKELY THERE WILL BE SOME SOFTENING IN LABOR MKT,2022-09-21 14:39:11.123000-04:00,1,-1,1,
78,PY54HNT0AFB7,*BULLARD SAYS HE FORECAST ONE ADDITIONAL RATE CUT THIS YEAR,2019-09-20 13:27:23.278000-04:00,1,-2,1,
79,LUAL540M5UKX,*ROSENGREN SAYS FED SHOULD ACT TO BRING DOWN UNEMPLOYMENT RATE,2011-11-07 13:30:00+00:00,1,-2,1,
80,KUAM4C1A1I4I,*BERNANKE SAYS U.S. FACES `SIGNIFICANT HEADWINDS' TO GROWTH,2009-12-07 12:33:48.430000-05:00,1,-2,1,
81,L4HC2E1A1I4Y,*FED SAYS FINANCIAL CONDITIONS ARE `LESS SUPPORTIVE' OF GROWTH,2010-06-23 14:15:50.712000-04:00,1,-1,1,
82,PTNY6SDWRGG0,*BULLARD: SITUATION DOESN'T CALL FOR 50 BASIS POINT RATE CUT,2019-06-25 12:37:40.272000-04:00,1,-1,1,
83,N0U2TZ6VDKIM,*YELLEN SAYS RECOVERY IN LABOR MARKET IS `FAR FROM COMPLETE',2014-02-11 08:29:59.946000-05:00,1,-1,1,
84,L0VD3G0WGOIA,*BERNANKE SEES `SIGNIFICANT RESTRAINTS' ON PACE OF U.S. RECOVERY,2010-04-14 10:00:00-04:00,1,-2,1,
85,MP21FU0PLGMN,*DUDLEY SAYS QE MAY BE PROLONGED IF ECONOMY MISSES FED FORECASTS,2013-06-27 10:00:00.020000-04:00,1,-2,1,
86,LKBPYT1A1I4K,*BERNANKE SAYS MOST OF 1ST QTR SLOWDOWN WAS `TRANSITORY',2011-04-27 14:28:05.829000-04:00,1,-1,1,
87,LDFMTE3TCF0R,*FED SAYS RECOVERY `INSUFFICIENT TO BRING DOWN UNEMPLOYMENT',2010-12-14 14:15:14.981000-05:00,1,-1,1,
88,PL2QDJDWX2PS,*ROSENGREN: SHORT END PRICING A RATE CUT `CATCHES MY ATTENTION',2019-01-09 12:10:31.669000-05:00,1,-1,1,
89,SBBU00NPYH36,*FED'S MESTER SAYS SHE EXPECTS THREE RATE CUTS THIS YEAR,2024-04-02 14:00:00.924000-04:00,1,-2,1,
90,QA9S8XT0AFBG,*POWELL: OUTLOOK HIGHLY UNCERTAIN AND DOWNSIDE RISKS SIGNIFICANT,2020-05-13 09:00:00.003000-04:00,1,-2,1,
91,Q8UAO6T1UM14,"*BOSTIC: SEEN ACUTE, NEGATIVE IMPACT ON PUBLIC-FACING SECTORS",2020-04-15 13:16:54.679000-04:00,1,-2,1,
92,RDVYVKT0G1KX,*POWELL: RECESSION LIKELIHOOD NOT ELEVATED NOW; GROWTH SLOWING,2022-06-22 11:54:56.855000-04:00,1,-1,1,
93,M5XCLF3TCF0L,*FED SAYS EMPLOYMENT GROWTH `HAS SLOWED',2012-06-20 12:32:03.932000-04:00,1,-1,1,
94,LHGCWO0S8Z66,*BERNANKE SAYS MANY LOCALITIES `HIT HARD' BY CUTS IN STATE AID,2011-03-02 20:00:00.004000-05:00,1,-1,1,
95,LFN9K43T6SQT,*FED SAYS RECOVERY HAS BEEN `INSUFFICIENT' TO REDUCE JOBLESS,2011-01-26 14:16:52.831000-05:00,1,-1,1,
96,NTLQAU6TTDSI,*LOCKHART: STATE/LOCAL SPENDING CUTS CAN BECOME GROWTH HEADWIND,2015-08-24 15:55:00.003000-04:00,1,-1,1,
97,QUT4R8T1UM0Y,*POWELL: MEASURES TO ENSURE POLICY TO DELIVER SUPPORT,2021-06-16 18:30:44.438000+00:00,1,0,1,
98,QH2CQUDWLU6U,"*EVANS: CONCERNED MORE PEOPLE TO BE LAID OFF, CUTTING DEMAND",2020-09-22 10:11:18.828000-04:00,1,-1,1,
99,MB85NR1A1I4T,*BERNANKE: FED CONCERNED GROWTH WILL BE TOO SLOW TO CUT JOBLESS,2012-10-01 13:23:52.022000-04:00,1,-1,1,
100,LPOAUW3TCF0K,*FED SAYS `DOWNSIDE RISKS' TO ECONOMIC OUTLOOK INCREASED,2011-08-09 14:18:32.798000-04:00,1,-1,1,
101,MQ35NZ1A1I4I,*BERNANKE SAYS DURING RECOVERY GOVERNMENTS HAVE CUT JOBS,2013-07-17 10:59:59.420000-04:00,1,-1,1,
102,Q7CU8LDWRGG1,*FED'S GEORGE: WE STAND READY TO LEND THROUGH DISCOUNT WINDOW,2020-03-17 20:29:09.804000+00:00,1,-2,1,
103,MQTBC03TCF0G,*FED SAYS INFLATION `PERSISTENTLY' BELOW 2% GOAL COULD POSE RISK,2013-07-31 14:00:00.325000-04:00,1,-1,1,
104,LR5YSV0WGOIN,"*FED SAYS GROWTH WAS SLOWER IN SOME REGIONS IN JULY, AUGUST",2011-09-07 14:00:00.007000-04:00,1,-1,1,
105,KD43YE0WGOHX,*FED'S HOENIG WARNS OF `SHORTCUTS' THAT IMPERIL FUTURE GROWTH,2009-01-07 13:00:00-05:00,1,-1,1,
106,PKTCW4DWX2PS,*POWELL: FED WOULD USE ALL ITS TOOLS TO THE EXTENT APPROPRIATE,2019-01-04 15:40:52.832000+00:00,1,-2,1,
107,LBBMRP3TCF0L,*FED SAYS PACE OF RECOVERY IN OUTPUT AND EMPLOYMENT STAYS SLOW,2010-11-03 14:16:37.205000-04:00,1,-1,1,
108,M4UUI11A1I4I,*ROSENGREN SAYS ANY MORE EASING COULD MEAN A NEW QE PROGRAM,2012-05-30 21:32:25.095000+00:00,1,-1,1,
109,SBBTATKFCAO0,*DALY: THREE RATE CUTS IN 2024 IS 'REASONABLE BASELINE' FORECAST,2024-04-02 13:44:53.406000-04:00,1,-2,1,
110,LOA4HB1A1I4I,*BERNANKE SAYS FIRST HALF GROWTH TOO WEAK TO CUT UNEMPLOYMENT,2011-07-13 12:00:47.679000-04:00,1,-1,1,
111,MB85NR1A1I4J,*BERNANKE SAYS PACE OF GROWTH INSUFFICENT TO CUT UNEMPLOYMENT,2012-10-01 13:23:51.545000-04:00,1,-1,1,
112,QEYJ25DWRGGB,"*KAPLAN: LACK OF STATE, LOCAL SUPPORT WILL MEAN MORE CUTBACKS",2020-08-12 11:30:05.950000-04:00,1,-1,1,
113,MHGDHM3TCF0H,*FED SAYS ECONOMIC ACTIVITY `PAUSED IN RECENT MONTHS',2013-01-30 14:15:22.375000-05:00,1,-1,1,
114,QWYX7ZT1UM0W,*POWELL: WE'RE SOME WAYS AWAY FROM SUBSTANTIAL PROGRESS ON JOBS,2021-07-28 14:40:47.067000-04:00,1,-1,1,
115,MRJ79C1A1I4I,*BULLARD SAYS FED DOING `WHAT IT CAN DO' TO AID U.S. RECOVERY,2013-08-14 17:29:36.654000+00:00,1,-1,1,
116,PWO2QT6K50XV,"*KAPLAN: TRADE UNCERTAINTY CUT U.S., GLOBAL GROWTH PROSPECTS: DJ",2019-08-22 21:56:53.540000-04:00,1,-1,1,
117,KZDZXX3T6SQT,*FED SAYS EMPLOYERS `REMAIN RELUCTANT TO ADD TO PAYROLLS',2010-03-16 14:13:09.441000-04:00,1,-1,1,
118,Q82RT2DWX2PW,*MESTER SEES U.S. UNEMPLOYMENT RISING NORTH OF 10% DUE TO VIRUS,2020-03-31 20:34:14.559000+00:00,1,-2,1,
119,L5X4ZW0HBO61,*BERNANKE SAYS `ECONOMIC OUTLOOK REMAINS UNUSUALLY UNCERTAIN',2010-07-21 14:00:00.001000-04:00,1,-1,1,
120,RJCML3DWRGG0,*FED’S WALLER SEES ADDITIONAL RATE HIKES INTO EARLY NEXT YEAR,2022-10-06 17:00:00.011000-04:00,1,2,,
121,P7GDIE6JIJUO,*FED'S MESTER: FURTHER RATE HIKES APPROPRIATE THIS YEAR AND NEXT,2018-04-19 18:45:00.007000-04:00,1,2,,
122,RJ8P3BDWX2PY,"*DALY: B/SHEET SHRINKING MAYBE WORTH ONE RATE HIKE, MAYBE TWO",2022-10-04 13:40:23.810000-04:00,1,2,,
123,P3UEDD6S9728,*DUDLEY SAYS FOUR 2018 HIKES POSSIBLE IF ECONOMIC OUTLOOK GAINS,2018-02-08 12:39:13.647000-05:00,1,2,,
124,OIAKPW6JTSEI,*BULLARD SAYS RISING YIELDS SIGNAL NEED FOR 2017 RATE HIKE: WSJ,2016-12-16 13:58:44.947000-05:00,1,2,1,
125,P93DACT1UM0W,*HARKER: COULD BACK 3 MORE '18 HIKES IF INFLATION ACCELERATES,2018-05-21 14:42:12.794000-04:00,1,2,,
126,P4IA946TTDS0,*KASHKARI: TAX CUTS COULD HELP FED ACHIEVE 2% INFLATION TARGET,2018-02-21 10:12:40.633000-05:00,1,-1,1,
127,R82Z70T1UM0W,*BOSTIC:IF INFLATION COMES IN HOT WILL BE OPEN TO FOUR `22 HIKES,2022-03-01 14:23:24.183000-05:00,1,2,,
128,OB7YC56S972W,*KAPLAN: SEPT. HIKE `IS VERY MUCH ON THE TABLE' IF DATA SUPPORT,2016-08-01 03:04:53.599000-04:00,1,2,,
129,O4URL96TTDS2,*EVANS: FED COULD HIKE MORE THAN TWICE THIS YEAR IF DATA STRONG,2016-03-30 08:48:45.773000-04:00,1,2,,
130,P3V11K6KLVRU,*FED'S GEORGE SAYS 3 RATE HIKES REASONABLE FOR THIS YEAR & NEXT,2018-02-08 20:48:56.516000-05:00,1,2,,
131,LJAHBH1A1I4I,*LACKER SAYS RATE HIKES BY END OF YEAR `CERTAINLY POSSIBLE',2011-04-07 11:50:05.422000-04:00,1,2,,
132,RR5OFNT0G1KW,*POWELL SAYS PREPARED TO INCREASE PACE OF RATE HIKES IF NEEDED,2023-03-07 10:02:11.628000-05:00,1,2,1,
133,RRXRFRT0G1KW,"*POWELL: IF WE NEED TO RAISE RATES HIGHER THAN EXPECTED, WE WILL",2023-03-22 14:59:51.380000-04:00,1,2,1,
134,R86F8GT1UM0W,*POWELL: PREPARED TO HIKE FASTER IN MTG OR MTGS IF NEEDED,2022-03-03 11:02:40.214000-05:00,1,2,,
135,MHGDHM3TCF0I,"*FED SAYS ECONOMY PAUSED DUE TO WEATHER, TRANSITORY ISSUES",2013-01-30 14:15:22.406000-05:00,1,-1,1,
136,QHSAOZT0G1L0,"*POWELL: OUTLOOK HIGHLY UNCERTAIN, EXPANSION FAR FROM COMPLETE",2020-10-06 10:40:00.001000-04:00,1,-1,1,
137,P61L8R6TTDST,*FED'S BOSTIC: FURTHER HIKES APPROPRIATE NEXT COUPLE YEARS,2018-03-23 08:07:03.273000-04:00,1,2,,
138,OLDEXU6K50XV,*FED'S LACKER: WE MAY NEED MORE THAN 3 RATE HIKES THIS YEAR,2017-02-14 10:27:30.423000-05:00,1,2,,
139,P8TNQ6T1UM0W,*FED'S BOSTIC CONFIRMS 2-4 RATE HIKES THIS YEAR IS CORRECT,2018-05-16 08:51:42.678000-04:00,1,2,,
140,PG53UPT2H340,*FED'S KAPLAN SAYS HE CAN SEE THREE MORE RATE HIKES BY NEXT JUNE,2018-10-05 15:08:49.681000-04:00,1,2,,
141,P2RZLC6JTSE8,"*FED'S MESTER FAVORS THREE TO FOUR RATE HIKES THIS YEAR, 2019",2018-01-18 18:51:12.789000-05:00,1,2,,
142,ON460D6VDKJA,*EVANS: THREE HIKES REASONABLE THIS YEAR; MORE OR LESS POSSIBLE,2017-03-20 08:43:25.846000-04:00,1,2,,
143,LZWDNO1A1I4I,*BULLARD SAYS HE SEES FED RATE HIKE IN 2013,2012-02-24 07:35:48.333000-05:00,1,2,,
144,ON4I746JIJUO,*FED'S EVANS SAYS HE SUPPORTS TWO OR THREE RATE HIKES IN 2017,2017-03-20 13:06:40.150000-04:00,1,2,,
145,PF061PT25UKG,*BOSTIC SEES GRADUAL FED HIKES OVER NEXT `HANDFUL' OF QUARTERS,2018-09-13 13:00:00.006000-04:00,1,2,,
146,P7AH9D6TTDSL,*KAPLAN: BASE CASE IS FOR THREE RATE HIKES IN 2018,2018-04-16 13:44:01.958000-04:00,1,2,,
147,P6CIV06K50XY,*FED'S HARKER LIFTS RATE FORECAST TO TOTAL 3 HIKES IN 2018: WSJ,2018-03-29 05:40:12.333000-04:00,1,2,,
148,R93UETDWRGGD,"*POWELL: IF WE THINK IT'S APPROPRIATE TO HIKE 50 BPS, WE WILL",2022-03-21 13:11:17.529000-04:00,1,2,,
149,R49VFFDWX2PT,*WALLER SAYS MARCH FOMC MEETING IS A `LIVE MEETING' FOR HIKE,2021-12-17 13:30:51.082000-05:00,1,2,,
150,P4T8V3SYF01U,"*POWELL SEES FURTHER GRADUAL RATE HIKES, OUTLOOK REMAINS STRONG",2018-02-27 08:30:00.006000-05:00,1,2,1,
151,P293JC6S972E,*BOSTIC WANTS TO SEE INFLATION HIGHER TO JUSTIFY 3-4 RATE HIKES,2018-01-08 14:05:00.003000-05:00,1,2,,
152,P6D2E66JIJUQ,*FED'S HARKER SAYS HE SEES TWO MORE FED RATE HIKES THIS YEAR,2018-03-29 13:00:00.001000-04:00,1,2,,
153,PC1B6WT25UKG,*GEORGE: MORE GRADUAL FED HIKES NEEDED TO LIFT RATES TO NEUTRAL,2018-07-17 20:00:00.004000-04:00,1,2,,
154,R7TI8QT1UM0Y,*FED’S MESTER STILL SEES SERIES OF RATE HIKES AS APPROPRIATE,2022-02-24 12:00:00.005000-05:00,1,2,,
155,OVXJA16JIJUT,*DUDLEY SAYS FED'S RATE-HIKE PATH SHOULD CONTINUE TO BE SHALLOW,2017-09-07 19:00:00.014000-04:00,1,2,1,
156,RHYBSDT1UM10,"*WALLER: ECONOMY CAN TAKE RATE HIKES, NOW IS THE TIME TO ACT",2022-09-09 12:43:25.987000-04:00,1,2,,
157,OGQ5D36S972H,*BULLARD SAYS ONE RATE HIKE ENOUGH TO RETURN POLICY TO NEUTRAL,2016-11-16 03:05:00.001000-05:00,1,2,,
158,O4WP746TTDS3,"*EVANS SEES ONE RATE HIKE IN MIDDLE OF YEAR, ONE AT YEAR-END",2016-03-31 09:52:16.306000-04:00,1,2,,
159,O7BY7T6KLVRD,*LOCKHART SAYS 2 OR 3 FED RATE HIKES THIS YEAR ARE POSSIBLE,2016-05-17 12:38:17.798000-04:00,1,2,,
160,RL53UWDWX2PS,*DALY: THERE ARE LIKELY MORE FED RATE HIKES IN OUR FUTURE,2022-11-10 11:16:08.100000-05:00,1,2,,
161,R9RJKHDWX2PS,*FED'S DALY SAYS CASE FOR 50 BPS RATE HIKE IN MAY HAS GROWN: FT,2022-04-03 08:19:29.920000-04:00,1,2,,
162,P5863L6KLVRA,"*BOSTIC: EVERYTHING ON TABLE IN REGARDS TO 2, 3, 4 HIKES IN '18",2018-03-07 09:44:00.005000-05:00,1,2,,
