Unnamed: 0.1,Unnamed: 0,index,suid,headline,timestamp_clean,relevant,sentiment_international,sentiment_economy,sentiment_financial_markets,sentiment_consumer,sentiment_housing,sentiment_labor,sentiment_inflation,hawk_dove,relevant_confidence,topic_international_confidence,topic_economy_confidence,topic_financial_markets_confidence,topic_consumer_confidence,topic_housing_confidence,topic_labor_confidence,topic_inflation_confidence,hawk_dove_confidence,_reviewed
55,55,14,KMIZ1A0S8Z66,*FED'S STERN SAYS TREASURY DOESN'T ADDRESS `TOO BIG TO FAIL',2009-07-09 18:30:00+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
56,56,,KN51LH0D9L36,*BERNANKE SAYS U.S. MAY BE `WELL ABOVE' POTENTIAL BY 2011,2009-07-21 15:27:17.560000+00:00,1,,1,,,,,,1,95,100,85,100,100,100,100,100,70,1
58,58,,KMKVML0D9L39,*FED'S KOHN SAID GREATER TRANSPARENCY WOULD IMPROVE RISK PRICING,2009-07-10 18:06:21.320000+00:00,0,,,1,,,,,,90,100,100,80,100,100,100,100,100,1
59,59,196,KN3EOM0D9L36,*LOCKHART SAYS TODAY'S LOW FED RATE NOT REPEATING HISTORY,2009-07-20 18:14:46.870000+00:00,1,,0,0,,,,,0,85,100,80,80,100,100,100,100,80,1
60,60,,KN542I0D9L36,*BERNANKE SAYS FED REVIEWING ALTERNATIVE ASSET CLASSES FOR TALF,2009-07-21 16:20:42.390000+00:00,0,,1,2,1,,,,,95,100,80,90,80,100,100,100,85,1
61,61,,KNLKQX0D9L36,"*FANNIE, FREDDIE WILL NEVER REPAY ALL FEDERAL AID, LOCKHART SAYS",2009-07-30 13:42:33.910000+00:00,0,,-1,-2,,-2,,,,95,100,80,90,100,90,100,100,70,1
62,62,,KMJ6CP0D9L36,*FED VICE CHAIRMAN KOHN COMPLETES TESTIMONY TO HOUSE PANEL,2009-07-09 20:02:49.370000+00:00,0,,,,,,,,,100,100,100,100,100,100,100,100,100,1
63,63,1482,KNEY110D9L35,*BERNANKE SAYS `NEXT COUPLE OF YEARS' INFLATION WILL BE LOW,2009-07-26 23:46:13.680000+00:00,1,,,,,,,2,-2,,,,,,,,,,1
64,64,69,KNEX390D9L36,*BERNANKE SAYS CREDIT IS CURRENTLY VERY CONSTRAINED,2009-07-26 23:25:57.020000+00:00,1,,-1,-2,-1,-1,,,-2,95,100,90,95,85,85,90,90,85,1
65,65,,KN4UEB0D9L36,*FORMER FED GOV. MISHKIN SAYS SOME PROPOSALS MAKE HIM 'NERVOUS',2009-07-21 12:51:47.200000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
66,66,,KOZV201A1I4O,*FED'S LOCKHART SAYS RECENT DATA ON HOUSING IS `ENCOURAGING',2009-08-26 17:25:12.510000+00:00,1,,1,,,1,,,1,90,100,70,90,80,95,100,100,70,1
67,67,972,KPD1N31A1I4I,*FED'S PLOSSER SAYS HE EXPECTS GROWTH IN SECOND HALF OF 2009,2009-09-02 20:16:16.010000+00:00,1,,2,,,,,,0,95,100,90,100,100,100,100,100,85,1
68,68,1234,KPCQ121A1I4K,*FED'S LOCKHART SAYS HE NOT `OVERLY WORRIED' ABOUT INFLATION,2009-09-02 16:05:26.980000+00:00,1,,,,,,,1,0,95,100,100,100,100,100,100,90,85,1
69,69,1030,KPPEQ91A1I4I,*FED'S EVANS SAYS RECOVERY `IS BEGINNING TO START',2009-09-09 12:30:09.320000+00:00,1,,1,,,,,,0,90,100,95,100,90,100,90,100,85,1
70,70,214,KPS0CG1A1I4I,*KOHN SAYS FED TOOK MORE CREDIT RISK THAN USUAL WITH AIG,2009-09-10 22:12:16.980000+00:00,1,,-1,-2,,,,,-1,90,100,75,80,100,100,100,100,80,1
71,71,1818,KPRK510WGOI7,*FED'S LOCKHART SAYS TREND IN U.S. NATIONAL DEBT `UNSUSTAINABLE',2009-09-10 16:30:00+00:00,0,,,,,,,,,,,,,,,,,,1
72,72,40,KPRK510WGOI5,*FED'S LOCKHART SAYS `FINANCIAL CONDITIONS' ARE `VULNERABLE',2009-09-10 16:30:00+00:00,1,,-1,-2,-1,,,,-1,92,100,75,95,60,100,100,100,85,1
73,73,1713,KQSLAD1A1I4I,*FED'S LOCKHART SAYS 'OBVIOUSLY DIFFERENT VIEWS ON FOMC',2009-09-30 16:18:13.530000+00:00,0,,,,,,,,,,,,,,,,,,1
74,74,916,KR2B9U0WGOHS,*FED'S DUDLEY SAYS RECOVERY LIKELY `LESS ROBUST THAN DESIRED',2009-10-05 22:30:00+00:00,1,,-1,,,,,,-1,95,100,90,100,100,100,100,100,85,1
75,75,399,KR7X0I0WGOIE,*BERNANKE SAYS BANK RESERVES DEPOSITED AT FED WILL PROBABLY GROW,2009-10-08 23:00:00+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
76,76,1589,KR7HQC0WGOHU,*FED'S LACKER SAYS OWNING A HOME NOT BEST CHOICE FOR EVERYBODY,2009-10-08 17:30:00+00:00,0,,,,-1,-2,,,,,,,,,,,,,1
77,77,,KRGRRT0S8Z6J,*FED'S KOHN SAYS U.S. EMPLOYMENT `QUITE WEAK',2009-10-13 17:45:00+00:00,1,,-1,,,,-2,,-2,95,100,80,100,100,100,90,100,85,1
78,78,647,KRM48S1A1I4M,*FISHER SAYS FED HASN'T YET RESTORED CREDIT TO `MAIN STREET',2009-10-16 14:58:04.910000+00:00,1,,-1,-1,-1,,,,-2,90,100,85,80,70,100,100,100,75,1
79,79,1773,KRM37V1A1I4I,*FED'S FISHER SAYS OFFICIALS MUST RESIST PROTECTIONIST POLICIES,2009-10-16 14:35:55.560000+00:00,0,,,,,,,,,,,,,,,,,,1
80,80,30,KRVIWZ1A1I4I,*FED'S FISHER ENDS BNN TELEVISION INTERVIEW,2009-10-21 16:53:23.090000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
81,81,,KRXRBC1A1I4I,*FED'S EVANS SAYS EXCESS SLACK LIKELY TO HOLD DOWN INFLATION,2009-10-22 21:50:00.400000+00:00,1,,-1,,,,,1,-2,90,100,80,100,100,100,100,85,70,1
82,82,,KS8WT51A1I4J,*FED GOVERNOR TARULLO TO TESTIFY TOMORROW BEFORE HOUSE PANEL,2009-10-28 22:22:17.960000+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
83,83,149,KSWLNR1A1I4I,*FED'S ROSENGREN SAYS HAS TOOLS TO TIGHTEN POLICY,2009-11-10 17:23:51.420000+00:00,1,,,,,,,,1,95,100,70,70,70,70,70,70,85,1
84,84,,KSWCCT0S8Z5U,*FED'S LOCKHART SAYS COMMERCIAL REAL ESTATE MAY WEAKEN RECOVERY,2009-11-10 14:08:10.410000+00:00,1,,-1,,,-1,,,-1,95,100,85,95,90,85,100,100,80,1
85,85,1624,KSX8MJ1A1I4L,*FISHER SAYS FED TO `EVALUATE' DODD'S FINANCIAL REGULATORY BILL,2009-11-11 01:39:55.810000+00:00,0,,,-1,,,,,,,,,,,,,,,1
86,86,208,KT7RC21A1I4I,*BERNANKE SAYS `NOT OBVIOUS' THERE ARE MISALINGMENTS IN U.S.,2009-11-16 18:00:02.200000+00:00,1,,0,0,,,,,0,85,100,100,100,100,100,100,100,100,1
87,87,1567,KT7REZ1A1I4H,*BERNANKE SAYS SUPERVISORY TOOLS SHOULD BE USED ON UNDUE RISK,2009-11-16 18:01:47.720000+00:00,0,,,,,,,,,,,,,,,,,,1
89,89,35,KT7RD21A1I4H,*BERNANKE SAYS IMPORTANT TO `USE THE RIGHT TOOL FOR THE JOB',2009-11-16 18:00:38.240000+00:00,0,,,,,,,,,85,100,100,100,100,100,100,100,100,1
90,90,44,KU32431A1I4I,*BERNANKE SAYS FED DOESN'T SEE MISVALUATION OF ASSETS IN U.S.,2009-12-03 15:38:27.160000+00:00,1,,0,1,,,,,0,90,100,65,80,100,100,100,100,70,1
91,91,572,KU3ELA1A1I4I,*BERNANKE SAYS HE HAS `TRIED' TO STAY OUT OF FISCAL POLICY,2009-12-03 20:07:58.620000+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
92,92,589,KU32FD1A1I4K,*BERNANKE SAYS MANY PROBLEMS IN CRISIS OUTSIDE OF FED OVERSIGHT,2009-12-03 15:45:13.900000+00:00,1,,-2,-2,,,,,-2,85,100,85,90,100,100,100,100,80,1
93,93,1688,KU32K51A1I4I,*BERNANKE SAYS FED REGIONAL BOARDS NOT PART OF SUPERVISION,2009-12-03 15:48:05.090000+00:00,0,,,,,,,,,,,,,,,,,,1
94,94,273,KU35AQ1A1I4I,"*BERNANKE SAYS FED DOESN'T WANT ANOTHER AIG, LEHMAN TYPE FAILURE",2009-12-03 16:47:14.070000+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
95,95,,KU32LJ1A1I4I,*BERNANKE SAYS FED BOARD IS RESPONSIBLE FOR SUPERVISION,2009-12-03 15:48:55.750000+00:00,0,,,,,,,,,100,100,100,100,100,100,100,100,100,1
96,96,,KU32E21A1I4I,*BERNANKE SAYS CRISIS HAS `TESTED EVERY SINGLE REGULATOR',2009-12-03 15:44:26.880000+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
97,97,,KU3A6U1A1I4I,*BERNANKE SAYS PURCHASING POWER OF DOLLAR HAS BEEN STABLE,2009-12-03 18:32:54.230000+00:00,0,,1,,,,,1,,90,100,80,100,100,100,100,75,70,1
98,98,,KUREU71A1I50,"*FED SAYS AMLF, CPFF, PDCF, TSLF TO EXPIRE FEB. 1",2009-12-16 19:15:43.920000+00:00,0,,,,,,,,,90,100,70,80,100,100,100,100,70,1
99,99,124,KU4UQZ0WGOIJ,*FED'S PLOSSER SAYS `NO FIRM OUGHT TO BE TOO BIG TO FAIL',2009-12-04 15:00:00+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
101,101,,KUREU71A1I4S,*FED SAYS TALF EXPIRATION DATES ARE UNCHANGED,2009-12-16 19:15:43.920000+00:00,0,,,,,,,,,95,100,65,80,100,100,100,100,70,1
102,102,,KU3B7S1A1I4I,*BERNANKE SAYS FED `DOES NOT WANT TO BE INVOLVED IN BAILOUTS',2009-12-03 18:55:04.960000+00:00,1,,,-1,,,,,1,85,100,100,70,100,100,100,100,75,1
103,103,248,KUQW1U1A1I4L,*BERNANKE SAYS BANKS HAVE `STABILIZED',2009-12-16 12:29:54.450000+00:00,1,,1,1,,,,,0,90,100,75,80,100,100,100,100,70,1
104,104,556,KUQW8E1A1I4J,*BERNANKE SAYS FED HAS ROLE TO PLAY IN GETTING CREDIT FLOWING,2009-12-16 12:33:50.810000+00:00,1,,0,-1,,,,,-1,95,100,82,88,100,100,100,100,90,1
105,105,,KUSWV81A1I4J,*SENATOR SHELBY SAYS HE OPPOSES SECOND TERM FOR BERNANKE,2009-12-17 14:42:44.610000+00:00,0,,,,,,,,,100,100,100,100,100,100,100,100,100,1
106,106,,KUSYY51A1I4I,*REPUBLICAN SENATOR CORKER SAYS HE BACKS SECOND BERNANKE TERM,2009-12-17 15:27:41.320000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
107,107,1676,KUT0XY1A1I4I,*REPUBLICAN SENATOR GREGG SAYS HE BACKS SECOND BERNANKE TERM,2009-12-17 16:10:46.190000+00:00,0,,,,,,,,,,,,,,,,,,1
108,108,,KUT0KN1A1I4K,*DEMOCRATIC SENATOR WARNER SAYS HE WILL BACK 2ND BERNANKE TERM,2009-12-17 16:02:47.660000+00:00,0,,,,,,,,,100,100,100,100,100,100,100,100,100,1
109,109,,KUT00U1A1I4K,*REPUBLICAN SEN. DEMINT SAYS HE DOESN'T BACK 2ND BERNANKE TERM,2009-12-17 15:50:54.970000+00:00,0,,,,,,,,,100,100,100,100,100,100,100,100,100,1
110,110,,KV2AP31A1I4J,*NY SAYS FEDERAL GOVERNMENT REPORTS DUKE TO SPEND $85M   :DUK US,2009-12-22 16:19:51.530000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
113,113,1745,KV0CRB1A1I4J,*EVANS SAYS INFLATION IS `RELATIVELY SLOW MOVING',2009-12-21 15:09:11.430000+00:00,1,,,,,,,0,-1,,,,,,,,,,1
118,118,2517,KVOGE31A1I4I,*BERNANKE SAYS REGULATION WOULD HAVE BEEN BEST ANSWER TO BUBBLE,2010-01-03 15:30:03.280000+00:00,0,,,,,,,,,,,,,,,,,,1
119,119,1523,KVRZV81A1I4I,*HOENIG SAYS SYSTEM NEEDS PROCESS FOR ADDRESSING FAILING FIRMS,2010-01-05 13:23:32.050000+00:00,0,,,,,,,,,,,,,,,,,,1
120,120,713,KVV5PO1A1I4J,"*U.S. HOUSE PRICES ARE STABILIZING, FED'S BULLARD SAYS",2010-01-07 06:22:36.420000+00:00,1,,1,,,1,,,0,95,100,85,100,100,90,100,100,80,1
121,121,,KVV6H91A1I4I,*FED'S BULLARD SAYS INFLATION FOR NOW IS WELL CONTAINED IN U.S.,2010-01-07 06:39:09.750000+00:00,1,,,,,,,1,0,90,100,70,100,100,100,100,80,70,1
122,122,,KWAHWY199ERL,"*U.S. EMPIRE STATE FACTORY INDEX AT 15.9 IN JAN., FED SAYS",2010-01-15 13:30:00+00:00,0,,,,,,,,,95,100,85,100,100,100,100,100,75,1
123,123,,KWX6VH1A1I4Q,"*FOMC SAYS HOENIG DISSENTS, WAS AGAINST `EXTENDED PERIOD'",2010-01-27 19:16:29.851000+00:00,0,,,,,,,,,90,100,60,60,100,100,100,100,80,1
124,124,749,KW3ID51A1I4J,*HOENIG SAYS RATES SHOULD BE RAISED `SOONER RATHER THAN LATER',2010-01-11 18:36:41.670000+00:00,1,,-1,,,,,-1,1,95,100,85,100,100,100,100,80,90,1
125,125,282,KW3FA00WGOIK,*FED'S LOCKHART SAYS `CONSUMER SPENDING REMAINS CONSTRAINED',2010-01-11 17:40:00+00:00,1,,-1,,-1,,,,-1,95,100,85,100,95,100,100,100,85,1
126,126,73,KW3IH81A1I4J,*HOENIG SAYS `POLITICIZED' FED WOULD BE A `TRAGEDY',2010-01-11 18:39:08.470000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
127,127,12,KW3IFD1A1I4I,*HOENIG: FED SHOULD CONSIDER CHANGING STATEMENT BEFORE RATE RISE,2010-01-11 18:38:01.720000+00:00,1,,,,,,,,1,95,100,80,85,80,95,90,85,90,1
128,128,,KW3FA00WGOIR,*FED'S LOCKHART SAYS PACE OF EXPANSION LIKELY TO BE SLOW,2010-01-11 17:40:00+00:00,1,,-1,,,,,,-1,90,100,85,95,100,100,100,100,85,1
129,129,,KW2G4B1A1I4I,*FED'S BULLARD SAYS LENDING RECOVERY WILL NOT BE IMMEDIATE,2010-01-11 04:50:35.380000+00:00,0,,-1,-1,,,,,,95,100,90,90,100,100,100,100,85,1
130,130,,KW4ZRE0WGOHW,*FED SAYS 2009 PAYMENTS INCREASED $14.4 BILLION FROM 2008,2010-01-12 14:00:00.004000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
131,131,1533,KW77WY1A1I4I,*EVANS SAYS `VERY DIFFICULT' TO RECOGNIZE ASSET PRICE BUBBLE,2010-01-13 18:41:22.830000+00:00,0,,,-1,,-1,,,,,,,,,,,,,1
132,132,1544,KW5TPL1A1I4H,*FISHER SAYS FED'S MBS PURCHASES HAVE KEPT MORTGAGE RATES LOW,2010-01-13 00:36:57+00:00,1,,,,,-1,,,-1,,,,,,,,,,1
133,133,1582,KW77G70WGOIF,*FED SAYS CONSUMER SPENDING ROSE `MODESTLY' IN EIGHT DISTRICTS,2010-01-13 19:00:00+00:00,1,,,,1,,,,0,,,,,,,,,,1
135,135,,KW94LJ1A1I4I,*FISHER SAYS MONETARY POLICY AUDITS WOULD BE `TERRIBLE MISSTEP',2010-01-14 19:24:55.120000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
136,136,,KWIHCY1A1I4I,"*SENATE MAY SEEK VOTE FRIDAY ON BERNANKE CONFIRMATION, AIDES SAY",2010-01-19 20:38:58.110000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
